ID,Dim,Size,Skylight,Entrance,Openings,Legs,Texture
29,24.549857,Super,Skylight,Ramp,0,White Legs,Solids Gradient 03
30,31.113021,Super,None,Ground,2,None,Solids Gradient 08
31,21.754645,Super,Skylight,Ramp,0,White Legs,Solids Gradient 43
32,32.265624,Super,None,Ground,4,None,Solids Gradient 13
33,21.414745,Super,None,Ramp,2,White Legs,Solids Gradient 25
34,16.96686,Super,None,Ramp,0,White Legs,Solids Gradient 11
35,17.72004,Super,None,Ramp,3,Black Legs,Solids Gradient 22
36,20.419943,Super,None,Ramp,0,White Legs,Solids Gradient 26
37,13.316474,Super,None,Ground,0,None,Solids Gradient 08
38,43.327912,Super,Skylight,Ground,4,None,Solids Gradient 26
39,36.66513,Super,Skylight,Ground,4,None,Solids Gradient 12
40,16.518658,Super,None,Ramp,1,White Legs,Solids Gradient 28
41,42.610799,Super,Skylight,Ramp,2,White Legs,Solids Gradient 04
42,23.087219,Super,Skylight,Ramp,0,White Legs,Solids Gradient 13
43,13.280452,Super,None,Ground,2,None,Solids Gradient 04
44,26.562058,Super,Skylight,Spiral,0,White Legs,Solids Gradient 27
45,21.791931,Super,None,Spiral,2,White Legs,Solids Gradient 28
46,16.887882,Super,None,Ramp,0,Black Legs,Solids Gradient 39
47,26.502742,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 11
48,17.187778,Super,None,Ground,3,None,Solids Gradient 26
49,15.976175,Super,None,Ground,2,None,Solids Gradient 18
50,19.249532,Super,Skylight,Ground,0,None,Solids Gradient 15
51,13.944384,Super,None,Ground,3,None,Unknown (7)
52,16.802057,Super,None,Ramp,0,Black Legs,Solids Gradient 08
53,31.981513,Super,None,Ground,0,None,Solids Gradient 36
54,21.241737,Super,Skylight,Ramp,0,White Legs,Solids Gradient 03
55,43.768707,Super,Skylight,Spiral,3,White Legs,Solids Gradient 30
56,15.924596,Super,None,Ground,0,None,Solids Gradient 10
57,25.415065,Super,Skylight,Spiral,4,White Legs,Unknown
58,42.600485,Super,None,Ramp,0,White Legs,Solids Gradient 43
59,18.732109,Super,Skylight,Ground,0,None,Solids Gradient 10
60,24.829095,Super,Skylight,Ramp,3,White Legs,Solids Gradient 26
61,37.162333,Super,Skylight,Ground,0,None,Solids Gradient 18
62,30.245635,Super,None,Ground,3,None,Solids Gradient 28
63,16.179737,Super,Skylight,Ground,1,None,Solids Gradient 39
64,20.302183,Super,Skylight,Ramp,2,White Legs,Solids Gradient 35
65,38.846836,Super,Skylight,Ramp,0,White Legs,Solids Gradient 27
66,22.942806,Super,Skylight,Ramp,1,Black Legs,Solids Gradient 15
67,21.500604,Super,Skylight,Ground,0,None,Solids Gradient 22
68,22.130212,Super,Skylight,Ramp,3,White Legs,Solids Gradient 23
69,16.090608,Super,Skylight,Ground,4,None,Solids Gradient 24
70,17.385181,Super,None,Ground,1,None,Solids Gradient 35
71,17.107965,Super,None,Ground,0,None,Solids Gradient 31
72,16.165257,Super,Skylight,Ground,0,None,Solids Gradient 37
73,36.439829,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 07
74,33.771777,Super,Skylight,Ground,3,None,Solids Gradient 02
75,15.897754,Super,None,Ground,0,None,Solids Gradient 20
76,44.260057,Super,Skylight,Ramp,0,White Legs,Unknown (9)
77,16.198932,Super,Skylight,Ground,4,None,Solids Gradient 38
78,18.033262,Super,None,Ramp,0,Black Legs,Solids Gradient 02
79,17.062443,Super,None,Ramp,1,White Legs,Solids Gradient 38
80,35.338594,Super,None,Ramp,0,Black Legs,Solids Gradient 19
81,16.360083,Super,Skylight,Ground,3,None,Solids Gradient 22
82,20.465295,Super,Skylight,Ground,0,None,Solids Gradient 29
83,26.66843,Super,Skylight,Ramp,0,White Legs,Solids Gradient 39
84,33.297658,Super,None,Ramp,0,White Legs,Solids Gradient 41
85,15.791747,Super,Skylight,Ground,0,None,Solids Gradient 42
86,13.372754,Super,None,Ground,0,None,Solids Gradient 23
87,38.921958,Super,Skylight,Ground,3,None,Solids Gradient 27
88,17.736407,Super,None,Ground,0,None,Unknown (8)
89,14.757707,Super,None,Ground,1,None,Solids Gradient 32
90,19.795421,Super,None,Ramp,0,White Legs,Unknown (7)
91,19.277199,Super,None,Ramp,1,White Legs,Solids Gradient 13
92,20.049918,Super,None,Ramp,3,White Legs,Solids Gradient 38
93,33.497293,Super,None,Ground,5,None,Solids Gradient 15
94,21.690701,Super,Skylight,Ramp,0,White Legs,Solids Gradient 18
95,18.742976,Super,Skylight,Ground,2,None,Solids Gradient 30
96,17.738722,Super,None,Ground,0,None,Solids Gradient 22
97,39.176888,Super,Skylight,Spiral,2,White Legs,Solids Gradient 10
98,16.398045,Super,Skylight,Ground,0,None,Solids Gradient 42
99,21.565535,Super,None,Spiral,0,White Legs,Solids Gradient 29
100,13.719187,Super,None,Ground,1,None,Solids Gradient 19
101,16.937007,Super,Skylight,Ground,3,None,Solids Gradient 10
102,14.117678,Super,None,Ground,0,None,Solids Gradient 32
103,30.692949,Super,None,Ground,3,None,Solids Gradient 07
104,43.209104,Super,Skylight,Ramp,3,White Legs,Solids Gradient 09
105,20.021536,Super,None,Ramp,2,White Legs,Solids Gradient 08
106,21.411994,Super,Skylight,Ramp,4,Black Legs,Solids Gradient 38
107,12.190997,Super,None,Ground,0,None,Solids Gradient 30
108,23.590363,Super,None,Ramp,0,White Legs,Solids Gradient 14
109,23.485057,Super,Skylight,Ramp,0,White Legs,Solids Gradient 01
110,20.79398,Super,Skylight,Ground,3,None,Solids Gradient 15
111,18.793347,Super,Skylight,Ground,0,None,Solids Gradient 07
112,40.520387,Super,Skylight,Ramp,2,White Legs,Solids Gradient 12
113,42.257727,Super,Skylight,Ramp,3,White Legs,Solids Gradient 33
114,14.475416,Super,None,Ground,3,None,Solids Gradient 24
115,15.484356,Super,None,Ground,3,None,Solids Gradient 43
116,17.363027,Super,None,Ground,3,None,Unknown
117,20.195771,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 02
118,37.182276,Super,None,Ramp,0,White Legs,Unknown
119,18.748637,Super,None,Ramp,0,Black Legs,Solids Gradient 29
120,19.614171,Super,None,Spiral,0,White Legs,Solids Gradient 08
121,25.812265,Super,Skylight,Ramp,1,Black Legs,Solids Gradient 33
122,15.477687,Super,Skylight,Ground,2,None,Solids Gradient 32
123,17.293527,Super,None,Ground,3,None,Solids Gradient 07
124,15.364162,Super,None,Ground,2,None,Solids Gradient 30
125,24.04774,Super,Skylight,Ramp,0,White Legs,Solids Gradient 42
126,19.189828,Super,Skylight,Ground,0,None,Solids Gradient 37
127,20.149458,Super,Skylight,Ground,3,None,Solids Gradient 27
128,42.451803,Super,Skylight,Ramp,2,Black Legs,Solids Gradient 36
129,13.580508,Super,None,Ground,3,None,Solids Gradient 16
130,27.503233,Super,Skylight,Spiral,3,Black Legs,Solids Gradient 20
131,19.629973,Super,Skylight,Ground,0,None,Solids Gradient 11
132,21.416157,Super,None,Ramp,0,White Legs,Unknown (7)
133,24.611485,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 13
134,35.572869,Super,None,Ramp,3,White Legs,Solids Gradient 23
135,35.083472,Super,Skylight,Ground,0,None,Solids Gradient 43
136,38.11342,Super,None,Ground,0,None,Solids Gradient 17
137,22.191762,Super,Skylight,Ramp,4,White Legs,Solids Gradient 28
138,22.238689,Super,None,Ramp,0,Black Legs,Solids Gradient 40
139,37.596432,Super,Skylight,Ramp,3,Black Legs,Solids Gradient 40
140,20.566479,Super,Skylight,Ground,0,None,Solids Gradient 23
141,22.190228,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 30
142,27.905091,Super,None,Ground,0,None,Solids Gradient 11
143,15.555813,Super,None,Ground,3,None,Solids Gradient 30
144,19.358282,Super,Skylight,Ground,3,None,Solids Gradient 38
145,31.650182,Super,None,Ramp,2,White Legs,Solids Gradient 26
146,34.014533,Super,Skylight,Ground,0,None,Solids Gradient 07
147,14.045797,Super,None,Ground,0,None,Solids Gradient 27
148,24.142869,Super,None,Ramp,0,Black Legs,Solids Gradient 41
149,27.950895,Super,None,Ground,0,None,Solids Gradient 06
150,23.797898,Super,Skylight,Ramp,0,Black Legs,Unknown (9)
151,17.722787,Super,None,Ground,1,None,Solids Gradient 41
152,14.049118,Super,None,Ground,2,None,Solids Gradient 20
153,22.140147,Super,Skylight,Ramp,1,White Legs,Solids Gradient 37
154,17.398794,Super,Skylight,Ground,0,None,Solids Gradient 41
155,39.160896,Super,None,Ramp,6,Black Legs,Solids Gradient 41
156,16.926527,Super,Skylight,Ground,0,None,Solids Gradient 05
157,24.934303,Super,Skylight,Ramp,4,Black Legs,Solids Gradient 01
158,19.864047,Super,None,Ramp,0,White Legs,Solids Gradient 33
159,35.201585,Super,Skylight,Ground,0,None,Unknown
160,17.363469,Super,None,Ramp,1,White Legs,Unknown
161,23.750739,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 13
162,31.554191,Super,Skylight,Ground,3,None,Solids Gradient 12
163,19.011259,Super,Skylight,Ground,4,None,Solids Gradient 25
164,34.039055,Super,None,Ramp,2,Black Legs,Solids Gradient 30
165,35.899289,Super,Skylight,Ground,0,None,Solids Gradient 04
166,15.329105,Super,None,Ground,3,None,Solids Gradient 32
167,40.359101,Super,Skylight,Ramp,2,White Legs,Solids Gradient 18
168,34.735132,Super,Skylight,Ground,0,None,Solids Gradient 12
169,34.791703,Super,None,Ramp,2,White Legs,Solids Gradient 17
170,37.809068,Super,Skylight,Ground,4,None,Unknown
171,37.541698,Super,None,Ground,4,None,Solids Gradient 43
172,16.105551,Super,Skylight,Ground,3,None,Solids Gradient 42
173,41.090958,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 19
174,19.904883,Super,None,Ramp,0,White Legs,Solids Gradient 18
175,43.372228,Super,Skylight,Ramp,3,White Legs,Solids Gradient 01
176,34.976532,Super,None,Ground,0,None,Solids Gradient 26
177,20.140824,Super,None,Ramp,3,White Legs,Solids Gradient 36
178,13.678355,Super,None,Ground,3,None,Solids Gradient 06
179,21.914001,Super,None,Ramp,3,White Legs,Solids Gradient 15
180,17.740284,Super,None,Ground,2,None,Solids Gradient 41
181,13.612259,Super,None,Ground,2,None,Solids Gradient 36
182,32.058404,Super,None,Ground,5,None,Solids Gradient 39
183,22.224962,Super,None,Spiral,0,White Legs,Unknown
184,36.050524,Super,Skylight,Ground,3,None,Solids Gradient 40
185,33.49151,Super,None,Ground,4,None,Solids Gradient 02
186,19.386148,Super,None,Ramp,3,White Legs,Solids Gradient 15
187,17.001591,Super,None,Ground,1,None,Solids Gradient 27
188,38.898701,Super,Skylight,Spiral,0,White Legs,Solids Gradient 30
189,18.201402,Super,None,Ramp,0,White Legs,Solids Gradient 34
190,19.687144,Super,Skylight,Ground,2,None,Solids Gradient 12
191,25.981929,Super,Skylight,Ramp,0,White Legs,Solids Gradient 16
192,38.355683,Super,None,Ramp,0,White Legs,Solids Gradient 23
193,13.512682,Super,None,Ground,0,None,Solids Gradient 34
194,17.639323,Super,Skylight,Ground,0,None,Solids Gradient 12
195,41.848964,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 40
196,21.688365,Super,Skylight,Ramp,0,White Legs,Solids Gradient 30
197,17.534258,Super,None,Ground,0,None,Solids Gradient 36
198,20.907898,Super,None,Ramp,0,White Legs,Solids Gradient 18
199,18.614609,Super,Skylight,Ground,2,None,Solids Gradient 43
200,38.107387,Super,Skylight,Ground,0,None,Solids Gradient 40
201,16.822466,Super,Skylight,Ground,0,None,Unknown
202,38.260253,Super,None,Ramp,4,White Legs,Solids Gradient 16
203,34.46103,Super,None,Ground,3,None,Solids Gradient 32
204,16.201416,Super,None,Ground,3,None,Solids Gradient 04
205,21.945522,Super,None,Ramp,0,White Legs,Solids Gradient 36
206,20.603697,Super,Skylight,Ground,0,None,Solids Gradient 41
207,17.509695,Super,None,Ground,0,None,Solids Gradient 34
208,18.917963,Super,Skylight,Ground,0,None,Solids Gradient 17
209,22.069627,Super,None,Ramp,3,White Legs,Solids Gradient 23
210,22.417429,Super,None,Ramp,0,Black Legs,Solids Gradient 27
211,16.580282,Super,Skylight,Ground,0,None,Solids Gradient 16
212,19.483221,Super,Skylight,Ground,0,None,Solids Gradient 16
213,15.799347,Super,Skylight,Ground,0,None,Solids Gradient 09
214,27.60721,Super,Skylight,Ramp,2,Black Legs,Solids Gradient 33
215,15.665256,Super,None,Ground,3,None,Solids Gradient 10
216,15.99021,Super,None,Ground,0,None,Solids Gradient 05
217,22.989856,Super,None,Ramp,0,White Legs,Solids Gradient 41
218,27.885316,Super,Skylight,Ramp,0,White Legs,Solids Gradient 13
219,39.551161,Super,Skylight,Ground,0,None,Unknown
220,34.346952,Super,None,Ground,0,None,Unknown
221,12.725407,Super,None,Ground,0,None,Solids Gradient 23
222,27.824866,Super,None,Ground,4,None,Solids Gradient 17
223,20.777,Super,Skylight,Ground,0,None,Solids Gradient 27
224,18.041431,Super,Skylight,Ground,3,None,Solids Gradient 02
225,36.205139,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 04
226,16.428734,Super,Skylight,Ground,4,None,Solids Gradient 32
227,13.793452,Super,None,Ground,2,None,Solids Gradient 35
228,47.952932,Super,Skylight,Ramp,0,White Legs,Solids Gradient 05
229,24.405439,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 34
230,26.564456,Super,Skylight,Ramp,0,White Legs,Solids Gradient 23
231,22.606576,Super,None,Spiral,3,Black Legs,Solids Gradient 05
232,29.37047,Super,None,Ground,0,None,Solids Gradient 04
233,12.592931,Super,None,Ground,2,None,Solids Gradient 21
234,23.61435,Super,None,Spiral,3,Black Legs,Solids Gradient 23
235,26.227335,Super,None,Ground,2,None,Solids Gradient 26
236,14.707222,Super,None,Ground,2,None,Unknown (8)
237,20.045148,Super,Skylight,Ground,4,None,Solids Gradient 43
238,17.818609,Super,None,Ground,0,None,Solids Gradient 40
239,26.3274,Super,Skylight,Ramp,0,White Legs,Solids Gradient 04
240,29.043167,Super,None,Ground,2,None,Solids Gradient 01
241,27.576336,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 14
242,20.937605,Super,Skylight,Ground,2,None,Solids Gradient 03
243,33.711548,Super,Skylight,Ramp,2,White Legs,Unknown (8)
244,20.64858,Super,Skylight,Ground,2,None,Solids Gradient 13
245,29.876203,Super,None,Ground,0,None,Solids Gradient 13
246,12.789847,Super,None,Ground,2,None,Solids Gradient 19
247,22.212928,Super,None,Ramp,3,White Legs,Solids Gradient 07
248,14.361473,Super,None,Ground,2,None,Solids Gradient 21
249,23.054885,Super,None,Ramp,0,Black Legs,Solids Gradient 16
250,18.171772,Super,Skylight,Ground,0,None,Solids Gradient 26
251,34.416618,Super,Skylight,Ground,2,None,Solids Gradient 06
252,41.288482,Super,Skylight,Ground,0,None,Solids Gradient 40
253,14.786759,Super,None,Ground,0,None,Solids Gradient 21
254,37.214047,Super,Skylight,Ground,5,None,Solids Gradient 16
255,36.53511,Super,Skylight,Ramp,2,White Legs,Solids Gradient 14
256,38.26088,Super,Skylight,Ramp,0,White Legs,Solids Gradient 26
257,34.684982,Super,None,Ramp,0,White Legs,Solids Gradient 13
258,21.957063,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 28
259,26.019575,Super,Skylight,Ramp,0,White Legs,Solids Gradient 43
260,16.723929,Super,None,Ground,2,None,Solids Gradient 40
261,30.94956,Super,None,Ground,0,None,Solids Gradient 41
262,22.744922,Super,Skylight,Ramp,1,Black Legs,Unknown
263,16.853156,Super,None,Ground,1,None,Solids Gradient 19
264,37.69311,Super,Skylight,Ground,0,None,Solids Gradient 21
265,21.914888,Super,Skylight,Ramp,0,White Legs,Solids Gradient 39
266,17.587657,Super,Skylight,Ground,0,None,Solids Gradient 28
267,33.597399,Super,Skylight,Ground,4,None,Solids Gradient 33
268,32.929383,Super,Skylight,Ground,0,None,Solids Gradient 14
269,27.371811,Super,Skylight,Ramp,3,White Legs,Solids Gradient 06
270,19.558039,Super,None,Ramp,0,White Legs,Solids Gradient 25
271,26.150609,Super,Skylight,Ramp,1,White Legs,Solids Gradient 29
272,17.571257,Super,None,Ground,2,None,Unknown (8)
273,28.29017,Super,Skylight,Ground,0,None,Solids Gradient 04
274,18.076176,Super,Skylight,Ground,4,None,Solids Gradient 20
275,33.835643,Super,None,Ground,0,None,Solids Gradient 15
276,33.394432,Super,Skylight,Ground,0,None,Solids Gradient 37
277,19.527699,Super,None,Ramp,0,White Legs,Solids Gradient 42
278,32.456258,Super,None,Ramp,5,White Legs,Solids Gradient 39
279,13.740022,Super,None,Ground,0,None,Solids Gradient 29
280,44.477324,Super,Skylight,Ramp,0,White Legs,Unknown (8)
281,19.608696,Super,None,Ramp,2,White Legs,Solids Gradient 23
282,28.853072,Super,Skylight,Spiral,3,Black Legs,Solids Gradient 28
283,34.749576,Super,None,Ramp,0,White Legs,Solids Gradient 04
284,29.689428,Super,None,Ground,3,None,Solids Gradient 04
285,39.95242,Super,Skylight,Ramp,0,White Legs,Solids Gradient 43
286,15.057622,Super,None,Ground,2,None,Solids Gradient 42
287,20.183708,Super,None,Ramp,2,White Legs,Solids Gradient 31
288,19.799381,Super,None,Ramp,2,White Legs,Solids Gradient 06
289,41.598027,Super,None,Ramp,0,White Legs,Solids Gradient 36
290,23.50187,Super,None,Ramp,0,White Legs,Solids Gradient 31
291,27.089109,Super,Skylight,Ramp,3,White Legs,Solids Gradient 23
292,21.215806,Super,None,Ramp,1,White Legs,Solids Gradient 25
293,38.941132,Super,None,Ramp,3,Black Legs,Solids Gradient 38
294,17.966833,Super,None,Ramp,0,White Legs,Solids Gradient 08
295,12.093618,Super,None,Ground,0,None,Solids Gradient 19
296,45.037139,Super,Skylight,Ramp,0,White Legs,Solids Gradient 27
297,34.199198,Super,None,Spiral,0,Black Legs,Solids Gradient 38
298,25.042917,Super,Skylight,Ramp,2,White Legs,Solids Gradient 39
299,15.297222,Super,None,Ground,0,None,Solids Gradient 03
300,24.700848,Super,None,Spiral,1,White Legs,Solids Gradient 41
301,22.621833,Super,Skylight,Ramp,4,White Legs,Solids Gradient 17
302,30.48452,Super,None,Ground,0,None,Solids Gradient 29
303,23.909221,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 01
304,35.017202,Super,Skylight,Ground,5,None,Solids Gradient 19
305,42.495787,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 29
306,35.844025,Super,None,Ramp,0,White Legs,Solids Gradient 01
307,21.15748,Super,Skylight,Ground,0,None,Solids Gradient 34
308,12.308778,Super,None,Ground,0,None,Solids Gradient 04
309,24.157938,Super,None,Ramp,3,White Legs,Solids Gradient 21
310,40.401713,Super,None,Ramp,0,White Legs,Solids Gradient 02
311,33.197261,Super,Skylight,Ground,3,None,Solids Gradient 09
312,41.069663,Super,Skylight,Ramp,6,White Legs,Solids Gradient 35
313,38.556476,Super,None,Spiral,0,White Legs,Solids Gradient 05
314,38.352877,Super,None,Ramp,2,White Legs,Solids Gradient 34
315,21.315246,Super,None,Ramp,0,Black Legs,Unknown
316,19.587449,Super,Skylight,Ground,1,None,Solids Gradient 13
317,34.851667,Super,Skylight,Ground,3,None,Solids Gradient 26
318,40.908736,Super,Skylight,Ramp,3,White Legs,Solids Gradient 09
319,13.220955,Super,None,Ground,0,None,Solids Gradient 12
320,20.371274,Super,Skylight,Ground,0,None,Solids Gradient 41
321,17.191657,Super,None,Ground,2,None,Solids Gradient 21
322,16.671186,Super,Skylight,Ground,0,None,Solids Gradient 02
323,43.048487,Super,Skylight,Ramp,2,White Legs,Solids Gradient 42
324,29.738062,Super,Skylight,Ground,0,None,Solids Gradient 06
325,17.081345,Super,Skylight,Ground,4,None,Solids Gradient 43
326,15.062139,Super,None,Ground,1,None,Solids Gradient 10
327,15.334864,Super,None,Ground,3,None,Unknown (8)
328,22.269308,Super,Skylight,Ramp,4,White Legs,Solids Gradient 38
329,18.074707,Super,Skylight,Ground,0,None,Solids Gradient 23
330,40.816737,Super,Skylight,Ground,3,None,Solids Gradient 35
331,16.333325,Super,Skylight,Ground,0,None,Solids Gradient 38
332,32.688525,Super,None,Ramp,5,Black Legs,Solids Gradient 03
333,18.797468,Super,Skylight,Ground,3,None,Solids Gradient 26
334,14.639185,Super,None,Ground,0,None,Solids Gradient 32
335,42.933613,Super,Skylight,Ramp,3,White Legs,Solids Gradient 32
336,15.524186,Super,None,Ground,3,None,Solids Gradient 22
337,13.994411,Super,None,Ground,0,None,Solids Gradient 40
338,15.233046,Super,None,Ground,3,None,Solids Gradient 29
339,28.132885,Super,Skylight,Spiral,3,White Legs,Solids Gradient 12
340,38.963874,Super,None,Ramp,2,White Legs,Solids Gradient 07
341,37.347688,Super,None,Spiral,2,White Legs,Solids Gradient 36
342,20.874939,Super,None,Ramp,2,Black Legs,Solids Gradient 04
343,32.604015,Super,Skylight,Ground,0,None,Solids Gradient 07
344,22.487552,Super,Skylight,Ramp,4,White Legs,Solids Gradient 30
345,13.504096,Super,None,Ground,0,None,Solids Gradient 37
346,22.919257,Super,Skylight,Ramp,2,Black Legs,Solids Gradient 18
347,23.745854,Super,Skylight,Ramp,3,White Legs,Solids Gradient 34
348,20.083563,Super,None,Ramp,3,White Legs,Solids Gradient 36
349,20.2516,Super,None,Ramp,0,White Legs,Unknown (9)
350,39.174227,Super,Skylight,Ramp,3,Black Legs,Solids Gradient 41
351,25.171913,Super,None,Spiral,0,White Legs,Solids Gradient 14
352,15.380529,Super,None,Ground,1,None,Solids Gradient 28
353,13.618241,Super,None,Ground,3,None,Solids Gradient 41
354,16.543984,Super,None,Ground,3,None,Solids Gradient 28
355,21.509201,Super,None,Ramp,0,Black Legs,Solids Gradient 25
356,17.694211,Super,Skylight,Ground,4,None,Unknown
357,38.044307,Super,None,Ramp,0,White Legs,Solids Gradient 03
358,38.023513,Super,Skylight,Ramp,3,White Legs,Solids Gradient 41
359,37.235462,Super,Skylight,Ramp,2,White Legs,Unknown
360,35.184846,Super,Skylight,Ground,2,None,Solids Gradient 40
361,36.212782,Super,Skylight,Ground,0,None,Solids Gradient 07
362,26.399417,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 22
363,26.14738,Super,Skylight,Ramp,0,Black Legs,Solids Gradient 06
364,17.889271,Super,None,Ground,0,None,Solids Gradient 27
365,30.238992,Super,None,Ground,0,None,Solids Gradient 31
366,18.083261,Super,Skylight,Ground,0,None,Unknown (9)
367,18.665905,Super,None,Ramp,0,Black Legs,Solids Gradient 05
368,19.086962,Super,Skylight,Ground,3,None,Solids Gradient 38
369,13.35621,Super,None,Ground,0,None,Solids Gradient 22
370,32.640593,Super,Skylight,Ground,0,None,Solids Gradient 43
371,16.997981,Super,Skylight,Ground,0,None,Solids Gradient 06
372,38.962041,Super,None,Spiral,3,Black Legs,Solids Gradient 40
373,44.339056,Super,Skylight,Ramp,3,Black Legs,Solids Gradient 36
374,24.283437,Super,None,Spiral,0,White Legs,Solids Gradient 05
375,23.200191,Super,Skylight,Ramp,1,Black Legs,Solids Gradient 21
376,14.916726,Super,None,Ground,0,None,Unknown (9)
377,38.040563,Super,Skylight,Ground,2,None,Solids Gradient 01
378,41.24894,Super,None,Spiral,3,White Legs,Unknown (7)
379,25.858893,Super,Skylight,Ramp,4,Black Legs,Unknown (8)
380,23.24037,Super,None,Ramp,0,White Legs,Solids Gradient 43
381,26.402806,Super,None,Ground,2,None,Solids Gradient 03
382,27.194839,Super,Skylight,Ramp,0,White Legs,Solids Gradient 05
383,39.076145,Super,None,Ramp,0,White Legs,Solids Gradient 11
384,21.316431,Super,Skylight,Ground,4,None,Solids Gradient 28
385,30.696779,Super,None,Ramp,3,Black Legs,Solids Gradient 14
386,28.403238,Super,None,Ground,0,None,Solids Gradient 21
387,26.054991,Super,Skylight,Ramp,1,Black Legs,Unknown (8)
388,16.316963,Super,None,Ground,2,None,Solids Gradient 30
389,14.729993,Super,None,Ground,2,None,Solids Gradient 22
390,34.721692,Super,None,Ramp,0,White Legs,Solids Gradient 06
391,26.692027,Super,Skylight,Ramp,2,White Legs,Solids Gradient 17
392,23.178865,Super,None,Ramp,0,White Legs,Unknown (9)
393,13.071986,Super,None,Ground,2,None,Solids Gradient 21
394,23.554613,Super,None,Ramp,0,White Legs,Unknown
395,31.646064,Super,None,Ground,0,None,Solids Gradient 11
396,16.350543,Super,None,Ground,0,None,Solids Gradient 08
397,23.059417,Super,Skylight,Ramp,3,White Legs,Unknown
398,21.052449,Super,None,Ramp,3,White Legs,Solids Gradient 07
399,25.492374,Super,Skylight,Ramp,0,White Legs,Solids Gradient 26
400,14.629535,Super,None,Ground,0,None,Solids Gradient 34
401,21.098485,Super,Skylight,Ground,4,None,Solids Gradient 13
402,23.24369,Super,Skylight,Ramp,0,White Legs,Solids Gradient 36
403,35.06055,Super,None,Ramp,3,Black Legs,Solids Gradient 40
404,23.327712,Super,Skylight,Ramp,3,White Legs,Solids Gradient 08
405,21.809898,Super,None,Ramp,0,White Legs,Solids Gradient 21
406,41.607748,Super,None,Ramp,0,White Legs,Solids Gradient 27
407,32.993957,Super,None,Ramp,0,White Legs,Solids Gradient 01
408,48.589837,Super,Skylight,Spiral,0,White Legs,Solids Gradient 39
409,25.900536,Super,Skylight,Ramp,3,White Legs,Solids Gradient 10
410,21.19653,Super,None,Ramp,3,White Legs,Unknown (8)
411,16.897616,Super,None,Ground,4,None,Solids Gradient 05
412,22.120707,Super,None,Ramp,0,White Legs,Solids Gradient 19
413,23.033556,Super,None,Ramp,0,Black Legs,Solids Gradient 37
414,33.415754,Super,Skylight,Ground,2,None,Solids Gradient 20
415,20.450554,Super,None,Ramp,0,White Legs,Solids Gradient 40
416,26.372754,Super,Skylight,Ramp,2,White Legs,Solids Gradient 17
